2016-05-08 20:36:49,409 | INFO | MainSupport.java 329 | Apache Camel 2.15.2 starting
2016-05-08 20:36:49,517 | INFO | AbstractApplicationContext.java 510 | Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@6d95b191: startup date [Sun May 08 20:36:49 IST 2016]; root of context hierarchy
2016-05-08 20:36:49,596 | INFO | MainSupport.java 323 | Apache Camel 2.15.2 stopping
2016-05-08 20:38:26,363 | INFO | MainSupport.java 329 | Apache Camel 2.15.2 starting
2016-05-08 20:38:26,480 | INFO | AbstractApplicationContext.java 510 | Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@2b1d8f11: startup date [Sun May 08 20:38:26 IST 2016]; root of context hierarchy
2016-05-08 20:38:26,549 | INFO | XmlBeanDefinitionReader.java 317 | Loading XML bean definitions from file [C:\Users\sindhusunil\workspace\camelJdbcComponentSelectExample\target\classes\META-INF\spring\applicationContext.xml]
2016-05-08 20:38:28,208 | INFO | DriverManagerDataSource.java 133 | Loaded JDBC driver: com.mysql.jdbc.Driver
2016-05-08 20:38:28,528 | INFO | ScriptUtils.java 432 | Executing SQL script from class path resource [db-schema.sql]
2016-05-08 20:38:28,749 | INFO | ScriptUtils.java 491 | Executed SQL script from class path resource [db-schema.sql] in 221 ms.
2016-05-08 20:38:28,750 | INFO | ScriptUtils.java 432 | Executing SQL script from class path resource [db-test-data.sql]
2016-05-08 20:38:28,937 | INFO | ScriptUtils.java 491 | Executed SQL script from class path resource [db-test-data.sql] in 185 ms.
2016-05-08 20:38:29,301 | INFO | DefaultCamelContext.java 2418 | Apache Camel 2.15.2 (CamelContext: camel-1) is starting
2016-05-08 20:38:29,305 | INFO | ManagedManagementStrategy.java 187 | JMX is enabled
2016-05-08 20:38:29,544 | INFO | DefaultTypeConverter.java 56 | Loaded 183 type converters
2016-05-08 20:38:29,725 | INFO | DefaultCamelContext.java 2633 | AllowUseOriginalMessage is enabled. If access to the original message is not needed, then its recommended to turn this option off as it may improve performance.
2016-05-08 20:38:29,725 | INFO | DefaultCamelContext.java 2643 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2016-05-08 20:38:29,808 | INFO | DefaultCamelContext.java 3164 | Route: route1 started and consuming from: Endpoint[timer://timer1?period=2s]
2016-05-08 20:38:29,811 | INFO | DefaultCamelContext.java 2453 | Total 1 routes, of which 1 is started.
